course_code,course_name,omscentral_rating,omscentral_difficulty,omscentral_workload,foundational,omscs_theme,computer_science_theme
CS6035,introduction_to_information_security,3.46,2.53,10.38,TRUE,computing_systems,security
CS6200,graduate_introduction_to_operating_systems,4.35,3.67,18.38,TRUE,computing_systems,operating_systems
CS6242,data_and_visual_analytics,2.98,3.23,16.11,TRUE,machine_learning,data_science
CS6250,computer_networks,3.51,2.44,8.89,TRUE,computing_systems,computer_systems
CS6262,network_security,3.21,3.02,12.85,TRUE,computing_systems,security
CS6300,software_development_process,3.61,3.1,13.95,TRUE,interative_intelligence,software_engineering
CS6310,software_architecture_and_design,3.07,2.6,11.6,TRUE,computing_systems,software_engineering
CS6340,advanced_topics_in_software_analysis_and_testing,3.54,3.22,12.61,TRUE,computing_systems,software_engineering
CS6400,database_systems_concepts_and_design,2.58,2.83,11.24,TRUE,computing_systems,databases
CS6440,introduction_to_health_informatics,2.57,2.26,10.16,TRUE,human_computer_interaction,data_science
CS6457,video_game_design,4.35,2.29,13.53,FALSE,human_computer_interaction,software_engineering
CS6460,educational_technology,4,2.85,14.27,TRUE,human_computer_interaction,education
CS6475,computational_photography,3.59,3.23,16.86,TRUE,robotics,data_science
CS6515,introduction_to_graduate_algorithms,3.56,4.09,18.99,TRUE,foundational,algorithms
CS6601,artificial_intelligence,4.13,4.07,22.88,TRUE,robotics,data_science
CS6603,ai_ethics_and_society,2.48,1.61,5.97,TRUE,machine_learning,data_science
CS6750,human_computer_interaction,4.08,2.51,12.01,TRUE,human_computer_interaction,user_design
CS6795,introduction_to_cognitive_science,3.83,2.33,11.17,TRUE,human_computer_interaction,user_design
CS7280,network_science,3.31,2.86,13.14,TRUE,computing_systems,data_science
CS7470,mobile_and_ubiquitous_computing,2.67,3,10.33,FALSE,human_computer_interaction,user_design
CS7632,game_ai,4.5,2.64,11.86,TRUE,interative_intelligence,software_engineering
CS7637,knowledge_based_ai,3.68,3.1,13.95,TRUE,interative_inteligence,user_design
CS7638,artificial_intelligence_for_robotics,3.92,3.01,12.63,TRUE,robotics,data_science
CS7641,machine_learning,3.2,4.11,21.55,TRUE,machine_learning,data_science
CS7642,reinforcement_learning_and_decision_making,3.92,4.14,22.39,TRUE,machine_learning,data_science
CS7643,deep_learning,4.04,3.92,18.96,TRUE,machine_learning,data_science
CS7646,machine_learning_for_trading,4.01,2.56,11.41,TRUE,machine_learning,data_science
CSE6250,big_data_analytics_for_healthcare,3.76,4.27,28.96,TRUE,machine_learning,data_science
ISYE6501,intro_to_analytics_modelling,4.15,2.82,9.81,FALSE,machine_learning,data_science
MGT6311,digital_marketing,4.41,1.33,3.67,FALSE,machine_learning,data_science
CS6150,computing_for_good,2.5,2,8.5,FALSE,free_elective,data_science
INTA6450,data_analytics_and_security,2.86,1.36,3.64,FALSE,free_elective,cybersecurity
