,response,num_courses,score1,score2,score3,average_pred,matches,course_recs,taken_courses
0,1,3,0.0,1.0,2.0,2.6666666666666665,"[1, 48, 17, 42, 8]","['machine_learning_for_trading', 'introduction_to_health_informatics', 'data_and_visual_analytics', 'artificial_intelligence', 'artificial_intelligence_for_robotics']","['educational_technology', 'human_computer_interaction', 'ai_ethics_and_society']"
1,2,10,2.0,0.0,8.0,2.6,"[2, 15, 19, 4, 31]","['introduction_to_information_security', 'knowledge_based_ai', 'computer_networks', 'ai_ethics_and_society', 'introduction_to_graduate_algorithms']","['educational_technology', 'artificial_intelligence', 'artificial_intelligence_for_robotics', 'computational_photography', 'machine_learning_for_trading', 'game_ai', 'graduate_introduction_to_operating_systems', 'network_science', 'advanced_topics_in_software_analysis_and_testing', 'software_development_process']"
2,4,6,1.0,0.0,5.0,2.6666666666666665,"[4, 31, 15, 2, 19]","['introduction_to_health_informatics', 'data_and_visual_analytics', 'introduction_to_information_security', 'computer_networks', 'digital_marketing']","['human_computer_interaction', 'artificial_intelligence', 'software_development_process', 'knowledge_based_ai', 'software_architecture_and_design', 'database_systems_concepts_and_design']"
3,8,6,0.0,1.0,5.0,2.8333333333333335,"[8, 44, 16, 41, 17]","['knowledge_based_ai', 'digital_marketing', 'advanced_topics_in_software_analysis_and_testing', 'human_computer_interaction', 'network_science']","['software_development_process', 'software_architecture_and_design', 'database_systems_concepts_and_design', 'introduction_to_information_security', 'introduction_to_health_informatics', 'computer_networks']"
4,9,5,1.0,1.0,3.0,2.4,"[9, 47, 40, 41, 16]","['game_ai', 'software_development_process', 'network_science', 'computational_photography', 'deep_learning']","['educational_technology', 'ai_ethics_and_society', 'artificial_intelligence', 'artificial_intelligence_for_robotics', 'machine_learning_for_trading']"
5,10,1,0.0,0.0,1.0,3.0,"[10, 21, 45, 38, 32]","['data_and_visual_analytics', 'ai_ethics_and_society', 'computer_networks', 'introduction_to_information_security', 'introduction_to_health_informatics']",['human_computer_interaction']
6,11,2,0.0,0.0,2.0,3.0,"[11, 46, 27, 13, 22]","['introduction_to_health_informatics', 'software_development_process', 'artificial_intelligence', 'ai_ethics_and_society', 'digital_marketing']","['educational_technology', 'database_systems_concepts_and_design']"
7,12,8,4.0,1.0,3.0,1.875,"[12, 34, 18, 37, 24]","['database_systems_concepts_and_design', 'artificial_intelligence_for_robotics', 'introduction_to_information_security', 'data_and_visual_analytics', 'computational_photography']","['ai_ethics_and_society', 'machine_learning_for_trading', 'network_science', 'software_development_process', 'big_data_analytics_for_healthcare', 'reinforcement_learning_and_decision_making', 'deep_learning', 'introduction_to_graduate_algorithms']"
8,13,4,0.0,0.0,4.0,3.0,"[13, 22, 27, 11, 14]","['software_development_process', 'artificial_intelligence', 'digital_marketing', 'knowledge_based_ai', 'deep_learning']","['educational_technology', 'advanced_topics_in_software_analysis_and_testing', 'software_architecture_and_design', 'introduction_to_information_security']"
9,14,3,0.0,0.0,3.0,3.0,"[14, 46, 33, 11, 13]","['ai_ethics_and_society', 'data_and_visual_analytics', 'machine_learning', 'deep_learning', 'artificial_intelligence']","['educational_technology', 'human_computer_interaction', 'machine_learning_for_trading']"
