,response,num_courses,course_code,course_name,omscentral_rating,omscentral_difficulty,omscentral_workload,foundational,omscs_theme,computer_science_theme,Predicted,taken_course,score1,score2,score3,score4,average_pred,taken_courses,recommended_courses,next_wanted_course
0,1,3,CS6750,human_computer_interaction,4.08,2.85,14.27,True,machine_learning,user_design,2,1,2.0,1.0,0.0,0.0,1.3333333333333333,"['CS6460', 'CS6750', 'CS6603']","['CS6440', 'CSE6250', 'CS7646', 'CS7638', 'MGT6311']",CS6200
1,2,10,CS7646,software_development_process,4.5,4.07,22.88,True,robotics,software_engineering,3,1,8.0,0.0,2.0,0.0,1.4,"['CS6460', 'CS6601', 'CS7638', 'CS6475', 'CS7646', 'CS7632', 'CS6200', 'CS7280', 'CS6340', 'CS6300']","['CSE6250', 'CS6242', 'CS6035', 'CS7637', 'CS7641']",CS7643
2,4,6,CS7637,software_development_process,4.13,4.07,22.88,True,robotics,user_design,3,1,5.0,0.0,1.0,0.0,1.3333333333333333,"['CS6750', 'CS6601', 'CS6300', 'CS7637', 'CS6310', 'CS6400']","['CS6242', 'CS6035', 'CS6250', 'MGT6311', 'CS7646']",CS7646
3,8,6,CS6440,software_development_process,3.61,3.1,13.95,True,interative_intelligence,software_engineering,2,1,5.0,1.0,0.0,0.0,1.1666666666666667,"['CS6300', 'CS6310', 'CS6400', 'CS6035', 'CS6440', 'CS6250']","['CS7637', 'CS6460', 'CS7638', 'CS6515', 'CS6200']",CS6603
4,9,5,CS7646,machine_learning_for_trading,4.13,4.07,22.88,True,robotics,education,3,1,3.0,1.0,1.0,0.0,1.6,"['CS6460', 'CS6603', 'CS6601', 'CS7638', 'CS7646']","['CS6475', 'CSE6250', 'CS7643', 'CS6242', 'CS6035']",CS6750
5,10,1,CS6750,human_computer_interaction,4.08,2.51,12.01,True,human_computer_interaction,user_design,1,1,1.0,0.0,0.0,0.0,1.0,['CS6750'],"['CS6242', 'CS6460', 'CS7642', 'CS6250', 'CS6300']",CS7646
6,11,2,CS6460,educational_technology,4.0,2.85,14.27,True,human_computer_interaction,education,1,1,2.0,0.0,0.0,0.0,1.0,"['CS6460', 'CS6400']","['CS6440', 'CS7646', 'CS6300', 'CS6310', 'INTA6450']",CS6250
7,12,8,CSE6250,software_development_process,4.04,4.27,28.96,True,machine_learning,software_engineering,3,1,3.0,1.0,4.0,0.0,2.125,"['CS6603', 'CS7646', 'CS7280', 'CS6300', 'CSE6250', 'CS7642', 'CS7643', 'CS6515']","['CS6340', 'CS6475', 'CS7632', 'CS6310', 'CS6400']",CS6262
8,13,4,CS6460,software_architecture_and_design,4.0,3.22,14.27,True,human_computer_interaction,software_engineering,1,1,4.0,0.0,0.0,0.0,1.0,"['CS6460', 'CS6340', 'CS6310', 'CS6035']","['CS6440', 'CS7642', 'CS7637', 'CS7641', 'MGT6311']",CS6515
9,14,3,CS7646,machine_learning_for_trading,4.08,2.85,14.27,True,machine_learning,user_design,1,1,3.0,0.0,0.0,0.0,1.0,"['CS6460', 'CS6750', 'CS7646']","['CS6242', 'CS7642', 'CS7638', 'CS7632', 'CS6400']",CS7641
